siteName,regex,matchName
Goxhill,Chapel Farm,Chapel Farm
Goxhill,Chapel Field R(oa)?d\.?,Chapel Field Road
Goxhill,Dawson City,Dawson City Clay Pits
Goxhill,\bGoxhill\b,Goxhill
Goxhill,Skitter Ness,Skitter Ness
Grainsby,\bGrainsby\b,Grainsby
Grainthorpe,\bGrainthorpe\b,Grainthorpe village
Grainthorpe,\bLudney\b,Ludney
Grainthorpe,\bWragholme\b,Wragholme
Graizelound,\bGrai(z|s)elound\b,Graizelound
Grantham,Gonerby Hill Foot,Gonerby Hill Foot
Grantham,^(?!.*(Aisby|Manthorpe|Belton)).*\bGrantham\b,Grantham
Grantham,Hall'?s Hill,Hall's Hill
Grasby,\bAudleby\b,Audleby
Grasby,\bClixby\b,Clixby
Grasby,\bGrasby\b,Grasby
Grayingham,\bGrayingham\b,Grayingham
Great Carlton,Great Carlton,Great Carlton
Great Coates,Great Coa?tes,Great Coates
Great Gonerby,Gonerby Moor,Gonerby Moor
Great Gonerby,(Gonerby|Grantham) (Moor|Services),Gonerby Moor Services
Great Gonerby,Gonerby Woods?,Gonerby Woods
Great Gonerby,Great Gonerby,Great Gonerby
Great Hale,Great Hale,Great Hale
Great Limber,Great Limber,Great Limber
Great Limber,Halliday Hills?,Halliday Hills Woods
Great Limber,Hendale,Hendale Wood
Great Limber,Mausoleum Woods,Mausoleum Woods
Great Ponton,Great Ponton,Great Ponton
Great Ponton,Ponton Heath,Ponton Heath
Great Ponton,Ponton Park Wood,Ponton Park Wood
Great Ponton,Stoke Park Wood,Stoke Park Wood
Great Ponton,Stoke Pasture,Stoke Pasture
Great Postland,Great Postland,Great Postland
Great Steeping,Great Steeping,Great Steeping
Great Sturton,Great Sturton,Great Sturton
Great Tows,Great Tows,Great Tows
Great Tows,Thorpe le Vale,Thorpe le Vale
Greatford,\bGreatford\b,Greatford
Greetham,\bGreetham\b,Greetham
Greetwell Hollow Quarry,Greetwell (Hollow|Quarry),Greetwell Hollow Quarry
Grimoldby,\bGrimoldby\b,Grimoldby
Grimsby,Clee North Wall,Clee North Wall
Grimsby,Europarc,Europarc
Grimsby,Freshney,Freshney Bog
Grimsby,Gooseman'?s Field,Goosemans Field
Grimsby,Grant Thorold,Grant Thorold
Grimsby,^(?!.*(Little Grimsby)).*\bGrimsby\b,Grimsby
Grimsby,\bCemetery\b,Grimsby Cemetery
Grimsby,Little Coates,Little Coates
Pyewipe,Novartis Ings,Novartis Ings
Grimsby,Peaks Parkway|Tunnel,Peaks Parkway/Tunnel
Pyewipe,Pyewipe,Pyewipe Salt Marsh
Grimsby,Titan Works?,Titan Works Grimsby
Grimsby,Town'?s? Holt,Town Holt
Grimsby,Weelsby,Weelsby Woods
Grimsby,Wybers Wood,Wybers Wood
Grimsthorpe,Breache'?s Wood,Breache's Wood
Grimsthorpe,Dobbin'?s Wood,Dobbin's Wood
Grimsthorpe,\bGrimsthorpe\b,Grimsthorpe
Gunby (Colsterworth),^(?!.*Spilsby).*\bGunby\b,Gunby Colsterworth
Gunby (Spilsby),^(?!.*Colsterworth).*\bGu(n|m)by\b,Gunby  Hall Spilsby
Gunness,Brumby Common,Brumby Common
Gunness,\bGunness\b,Gunness
Gunness,Scunthorpe United,Scunthorpe United
Gunthorpe,\bGunthorpe\b,Gunthorpe
Guthram Gowt,Guthram Gowt,Guthram Gowt
Guys Head,Guy'?s Head,Guy's Head
Habrough,\bHabrough\b,Habrough
Haceby,\bHaceby\b,Haceby
Hackthorn,\bHackthorn\b,Hackthorn
Haconby,\bHacc?onby\b,Haconby
Haddington,\bHaddington\b,Haddington
Hagnaby,\bHagnaby\b,Hagnaby
Hagworthingham,\bHagworthingham\b,Hagworthingham
Hagworthingham,Pepper'?s Holt,Pepper's Holt Wood
Hagworthingham,Stockwith Mill,Stockwith Mill
Hainton,Duckpond Plantation,Duckpond Plantation Hainton
Hainton,\bHainton\b,Hainton
Hallington,\bHallington\b,Hallington
Haltham,\bHaltham\b,Haltham
Halton Fenside,Halton Fenside,Halton Fenside
Halton Holegate,Halton Holegate,Halton Holegate
Hameringham,\bHameringham\b,Hameringham
Hanby,\bHanby\b,Hanby
Hannah,\bHannah\b,Hannah
Hanthorpe,\bHanthorpe\b,Hanthorpe
Hardwick,\bHardwick\b,Hardwick
Hareby,\bHareby\b,Hareby
Harlaxton,\bHarlaxton\b,Harlaxton
Harmston,\bHarmston\b,Harmston
Harpswell,\bHarpswell\b,Harpswell
Harrington,\bHarrington\b,Harrington
Hartsholme,\bBirchwood\b,Birchwood
Hartsholme,\bHartsholme\b,Hartsholme  CP Country Park Hall
Hartsholme,\bSwanholme\b,Swanholme Lakes SSSI
Hatcliffe,\bHatcliffe\b,Hatcliffe
Hatton,\bHatton\b,Hatton
Haugh,\bHaugh\b,Haugh
Haugham,\bHaugham\b,Haugham
Hawerby cum Beesby,^(?!.*Alford).*\bBeesby\b,Beesby Top
Hawerby cum Beesby,\bHawerby\b,Hawerby cum Beesby
Hawthorpe,\bHawthorpe\b,Hawthorpe
Haxey,\bHaxey\b,Haxey Village
Haxey,Low Burnham,Low Burnham
Healing,Energy Park Way,Energy Park Way
Healing,\bHealing\b,Healing
Heapham,\bHeapham\b,Heapham
Heckington,^(?!.*\bEast\b).*\bHeckington\b,Heckington
Heighington,Branston Road,"Branston Road, Heighington"
Heighington,\bHeighington\b,Heighington
Helpringham,\bHelpringham\b,Helpringham
Hemingby,Manor Farm(yard)?,Manor Farm
Hemingby,Hemingby,Hemingby
Hemswell,^(?!.*Cliff).*Hemswell,Hemswell
Hemswell Cliff,Hemswell Cliff,Hemswell Cliff
Heydour,\bHeydour\b,Heydour
Hibaldstow,\bHibaldstowe?\b,Hibaldstow
Hibaldstow,Stonepit Wood,Stonepit Wood
High Toynton,High Toynton,High Toynton
Hobhole,\bHobhole\b,Hobhole BankDrain
Hobhole,Nunn'?s Bridge,Nunn's Bridge
Hogsthorpe,\bHogsthorpe\b,Hogsthorpe
Hogsthorpe,Sloothby High Lane,Sloothby High Lane Hogsthorpe
Holbeach,^(?!.*(Bank|Clough|Drove|Fen|Hurn|Marsh|Johns|Marks|Matthew)).*\bHolbeach\b,"Holbeach NOT Bank,Clough, Drove, Fen, Hurn or Marsh"
Holbeach Bank,Holbeach Bank,Holbeach Bank
Holbeach Bank,Holbeach Clough,Holbeach Clough
Holbeach Drove,Holbeach Drove,Holbeach Drove
Holbeach Fen,Holbeach Fen,Holbeach Fen
Holbeach Hurn,Holbeach Hurn,Holbeach Hurn
Holbeach Marsh (inland),^(?!.*shore).*Holbeach Marsh,Holbeach Marsh inland
Holbeach Marsh (shore),^(?!.*inland).*Holbeach Marsh,Holbeach Marsh shore
Holbeach Marsh (shore),Shep Whites,Shep Whites
Holbeach St Johns,Holbeach St Johns,Holbeach St Johns
Holbeach St Marks,Holbeach St Marks,Holbeach St Marks
Holbeach St Marks,Hospital Cottage Spinney Heronry,Hospital Cottage Spinney Heronry
Holbeach St Marks,Wash School Ponds Spinney Heronry,Wash School Ponds Spinney Heronry
Holbeach St Matthew,Holbeach St Matthew,Holbeach St Matthew
Holbeach St Matthew,Sot'?s Hole,Sot's Hole
Holland Fen,Holland Fen,Holland Fen
Holme,Bottesford Beck,Bottesford Beck
Holme,^(?!.*(Paull|Kirton)).*\bHolme\b,Holme
Holme,Pink Pig Farm,Pink Pig Farm
Holton cum Beckering,Holton cum Beckering,Holton cum Beckering
Holton le Clay,Holton le Clay,Holton le Clay
Holton le Moor,Holton le Moor,Holton le Moor
Holywell,\bHolywell\b,Holywell
Holywell,Newell Wood,Newell Wood
Holywell,Pickford Great Woods?,Pickford Great Woods
Holywell,Robert'?\s?s Field,Robert' s Field LWT
Honington,\bHonington\b,Honington
Horbling,\bHorbling\b,Horbling
Horkstow,\bHorkstow\b,Horkstow
Horncastle,^(?!.*(Langton|Thornton)).*\bHorncastle\b,Horncastle
Horse Shoe Point,Horse\s?shoe Point,Horse Shoe Point
Horsington,\bHorsington\b,Horsington
Hough on the Hill,Hough(-|\s)on(-|\s)the(-|\s)Hill,Hough on the Hill
Hougham,\bHougham\b,Hougham
Howell,\bHowell\b,Howell
Howsham,\bHowsham\b,Howsham
Hubberts Bridge,Hubbert'?s Bridge,Hubbert's Bridge
Humberston,Anthony'?s Bank,Anthony's Bank Road
Humberston,\bHumberston\b,Humberston
Humberston,\bThorpe\b Park,Thorpe Park Golf Course
Humberston,Terry Burgess,Trry Burgess Reserve
Humby,\bHumby\b,Humby
Hundleby,\bHundleby\b,Hundleby
Huttoft,Boy\s?grift Drain,Boygrift Drain
Huttoft,Car Terrace,Huttoft Car Terrace
Huttoft,\bHuttoft\b,Huttoft village
Huttoft,Marsh Yard,Marsh Yard
Huttoft,Moggs Eye,Moggs Eye
Immingham,\bImmingham\b(?!\sHIT),Immingham not HIT
Ingham,\bIngham\b,Ingham
Ingleby,\bIngleby\b,Ingleby
Ingoldmells,\bButlins\b,Butlins
Ingoldmells,\bIngoldmells\b,Ingoldmells
Ingoldsby,\bIngoldsby\b,Ingoldsby
Irby in the Marsh,^(?!.*Humber)\bIrby\b,Irby in the Marsh
Irby upon Humber,^(?!.*(in the Marsh))\bIrby\b,Irby upon Humber
Irnham,Far Old Park Woods?,Far Old Park Wood
Irnham,\bIrnham\b,Irnham
Irnham,Old Park Woods?,Old Park Wood
Kates Bridge,Kate'?s\s?Bridge,Kate's Bridge
Keadby,\bKeadby\b,Keadby
Keal Cotes,Keal Coa?tes,Keal Cotes
Keddington,\bKeddington\b,Keddington
Keddington,Ticklepenny'?s? Lock,Ticklepenny Lock
Keelby,\bKeelby\b,Keelb
Keisby,\bKeisby\b,Keisby
Kelby,\bKelby\b,Kelby
Kelstern,\bKelstern\b,Kelstern
Kettleby,\bKettleby\b,Kettleby
Kettlethorpe,^(?!.*Fenton).*\bKettlethorpe\b,Kettlethorpe
Kexby,\bKexby\b,Kexby
Killingholme,Immingham HIT,Immingham HIT
Killingholme,^(?!.*Ulceby).*\bKillingholme\b,Killingholme
Killingholme,Rosper Road(/sPools)?,Rosper Road /sPools
Kingerby,\bKingerby\b(?!( Beck Meadows)),Kingerby
Kirkby Green,Kirkby Green,Kirkby Green
Kirkby la Thorpe,Kirkby la Thorpe,Kirkby la Thorpe
Kirkby la Thorpe,Ballast Pit,New Ballast Pit
Kirkby Moor,Kirkby Moor\s?,Kirkby Moor LWT  NR
Kirkby Moor,Moor Farm,Moor Farm NR
Kirkby Moor,Ostler'?s Plantation$,Ostler's Plantation
Kirkby on Bain,^(?=.*(Kirkby|Tattershall Thorpe))(?=.*(Pits?|G(ravel\s)?P(its?)?)),Kirkby/Tattershall Thorpe Pits
Kirkby on Bain,Kirk?by on Bain,Kirkby on Bain
Kirkby Underwood,Callan'?s?( Lane)? Wood,Callan's Lane Wood
Kirkby Underwood,Kirkby Underwood,Kirkby Underwood
Kirkby Underwood,Pasture Wood,Pasture Wood
Kirkby Underwood,Scullar Wood,Scullar Wood
Kirkby Underwood,Thorny Wood,Thorny Wood
Kirkstead Bridge,Kirkstead Bridge,Kirkstead Bridge
Kirmington,Humberside Airport,Humberside Airport
Kirmington,\bKirmington\b,Kirmington
Kirmond le Mire,Kirmond le Mire,Kirmond le Mire
Kirton,^(?!.*(Lindsey|End|Holme|Marsh))\bKirton\b(?!\s!End|\sHolme),"Kirton NOT End, Holme or Marsh"
Kirton End,Kirton End,Kirton End
Kirton Holme,Kirton Holme,Kirton Holme
Kirton in Lindsey,Kirton(\sin)?\sLindsey,Kirton in Lindsey
Kirton in Lindsey,Nebraska,Nebraska Wetlands
Kirton Marsh,Kirton Marsh,Kirton Marsh
Kirton Marsh,Slade House,Slade House CL Caravan Site
Knaith,\bKnaith\b,Knaith Park
Laceby,\bLaceby\b,Laceby
Langrick,\bLangrick\b,Langrick
Baston and Langtoft,\bLangtoft\b,Langtoft
Baston and Langtoft,Penfield,Penfield LNR
Baston and Langtoft,Stowe\sG(ravel)?\s?P(it)?,Stowe Gravel Pit
Langton (Horncastle),^(?!.*(Spilsby|Wragby)).*Langton,Langton - Horncastle
Langton by Spilsby,^(?!.*(Horncastle|Wragby)).*\bLangton\b,Langton by Spilsby
Langton by Wragby,Gosling'?s Corner,Gosling's Corner Wood
Langton by Wragby,^(?!.*(Horncastle|Spilsby)).*\bLangton\b,Langton by Wragby
Langton by Wragby,Low Langton,Low Langton
Langton by Wragby,^(?!.*Maltby).*\bStrubby\b,Strubby Wragby
Langworth,^(?!.*Stainton).*\bLangworth\b,Langworth
Stainton by Langworth,Stainton Woods?,Stainton Wood
Laughterton,\bLaughterton\b,Laughterton
Laughton (Folkingham),^(?!.*Forest)\bLaughton\b,Laughton Folkingham
Laughton Forest,^(?!.*Folkingham).*\bLaughton\b,Laughton Forest
Laughton Forest,Peacock Wood,Peacock Wood Heronry
Laughton Forest,Tue?toes,Tuetoes Hills/Wood
Lea,\bLea\b,Lea
Leadenham,\bLeadenham\b,Leadenham
Leasingham,\bLeasingham\b,Leasingham
Legbourne,\bLegbourne\b,Legbourne village
Legbourne,\bKenwick\b (Hall|Park),
Legsby,^(?!.*Wood)\bLegsby\b,Legsby
Leicestershire,Belvoir Lakes,Belvoir Lakes
Leicestershire,\bHarston\b,Harston
Lenton,\bLenton\b,Lenton
Lenton,(?=.*(Folkingham))(?=.*(RAF|Airfield)),RAF Folkingham
Leverton,\bLeverton\b,Leverton
Lincoln,Bishop Bridge,Bishop Bridge
Lincoln,Brayford,Brayford Pool
Lincoln,Bunkers Hill,Bunkers Hill
Lincoln,Cathedral,Cathedral
Lincoln,Cross O'?\s?Cliff,Cross O'Cliff
Lincoln,Ermine,Ermine West
Lincoln,Hobbler'?s Hole,Hobbler's Hole
Lincoln,^(?!.*(Burton by|Coleby|Martin|Saxby|welton)).*\bLincoln\b,Lincoln
Lincoln,Arboretum,Lincoln Arboretum
Lincoln,Cow Paddle,Lincoln Cow Paddle
Lincoln,Monks Road,Monks Road Lincoln
Lincoln,Newport Cemetery,Newport Cemetery
Lincoln,South Common,South Common
Lincoln,The Lawn,The Lawn
Lincoln,The Pavilions,The Pavilions
Lincoln,University,The University
Lincoln,West Common,West Common
Lincoln,Witham Marshes,Witham Marshes
Linwood,Eleanor Woods?,Eleanor Wood
Linwood,^(?!.*Warren)\bLinwood\b,Linwood
Linwood,Lynwode Woods?,Lynwode Wood
Lissington,\bLissington\b,Lissington
Little Bytham,Little Bytham,Little Bytham
Little Carlton,Little Carlton,Little Carlton
Little Cawthorpe,Fir Hill,Fir Hill Quarry NR
Little Cawthorpe,Little Cawthorpe,Little Cawthorpe
Little Cawthorpe,Maltby Wood,Maltby Wood
Little Grimsby,Little Grimsby,Little Grimsby
Little Hale,Little Hale,Little Hale
Little Ponton,Little Ponton,Little Ponton
Little Steeping,Little Steeping,Little Steeping
Little Sutton,Little Sutton,Little Sutton
Lobthorpe,Beaumont Woods?,Beaumont Wood
Lobthorpe,\bLobthorpe\b,Lobthorpe
Lobthorpe,Tortoiseshell Wood,Tortoiseshell Wood
Londonthorpe,Alma\s(Park\s)?Wood,Alma Park Wood
Londonthorpe,Belton\sPark,Belton Park
Londonthorpe,\bLondonthorpe\b,Londonthorpe
Long Bennington,Long Bennington,Long Bennington
Long Sutton,Long Sutton,Long Sutton
Lound,^(?!.*\beast\b).*\bLound\b,Lound
Louth,Hubbard'?s Hills?,Hubbard's Hills
Louth,\bLouth\b,Louth
Louth,^(?!.*Deeping.*)St James,St James Church
Low Toynton,Low Toynton,Low Toynton
Ludborough,\bLudborough\b,Ludborough
Luddington,\bLuddington\b,Luddington
Luddington,Mere\s?Dyke R(oa)?d\.?,Mere Dyke Road
Ludford,\bLudford\b,Ludford
Lutton,\bLutton\b,Lutton
Mablethorpe,\bMab(le|el)thorpe\b,Mablethorpe
Maidenwell,\bMaidenwell\b,Maidenwell
Maltby le Marsh,Maltby le Marsh,Maltby le Marsh
Manby,\bManby\b(?!.*(Washland|Wetland|flash)),Manby
Manby Wetland,Levee Doors,Levee Doors
Manby Wetland,((?=(.*Carlton))|(?=(.*Manby)))+.*(Wetlands?|Flashes|Washlands?)+,Manby/Carlton  Flashes/Wetlands
Manthorpe (Bourne),^(?!.*Grantham).*\bManthorpe\b,Manthorpe
Manthorpe (Grantham),^(?!.*Bourne).*\bManthorpe\b,Manthorpe
Manton,^(?!.*Quarry)\bGreetwell\b,Greetwel
Manton,\bManton\b,Manton
Manton,\bTwigmo(or|re)\b,Twigmoor
Mareham le Fen,Fulsby Wood,Fulsby Wood
Mareham le Fen,Mareham le Fen,Mareham le Fen
Mareham le Fen,Shire Wood,Shire Wood
Mareham le Fen,St Helen'?s Wood,St Helen's Wood
Mareham le Fen,Troy Wood,Troy Wood
Mareham le Fen,Tumby Woodside,Tumby Woodside
Mareham on the Hill,Mareham on the Hill,Mareham on the Hill
Mareham on the Hill,\bScrafield\b,Scrafield
Markby,\bMarkby\b,Markby
Market Deeping,Market Deeping,Market Deeping
Market Rasen,^(?!.*(Race|Golf|Claxby)).*Market Rasen,Market Rasen NOT Golf or Race
Market Stainton,^Market Stainton,Market Stainton
Marshchapel,\bEskham\b,Eskham
Marshchapel,Louth Canal,Louth canal
Marshchapel,Marsh\s?chapel,Marshchapel
Marston,Jericho Wood,Jericho Wood
Marston,\bMarston\b,Marsto
Martin (Lincoln),^(?!.*Horncastle).*\bMartin\b,Martin
Martin (Lincoln),Metheringham Airfield,Metheringham Airfield
Marton,\bMarton\b,Marton
Marton,Trent Port,Trent Port Marton
Mavis Enderby,Mavis Enderby,Mavis Enderby
Mavis Enderby,Wheel\s?about Wood,Wheelabout Wood
Mawthorpe,\bMawthorpe\b,Mawthorpe
Melton Ross,Melton Gallows,Melton Gallows
Melton Ross,Melton Ross,Melton Ross
Messingham,Black Bank,Black Bank
Messingham,Black Walk Nook,Black Walk Nook
Messingham,Johnson'?s Ponds,Johnson's Ponds
Messingham,Broom Plantation,Broom Plantation
Messingham,\bMessingham\b,Messingham
Metheringham,^(?!.*(RAF|Airfield)).*\bMetheringham\b,Metheringham not RAF/Airfield
Metheringham,Sot'?s Hole,Sots Hole
Metheringham,\bTanvats\b,Tanvats
Middle Rasen,Middle Rasen,Middle Rasen
Middlemarsh Farm,Middlemarsh Farm,Middlemarsh Farm
Midville,\bMidville\b,Midville
Miningsby,\bMiningsby\b,Miningsby
Minting,\bMinting\b(?!\s(Park|Wood)),Minting (NOT Park or Wood)
Moorby,\bMoorby\b,Moorby
Moortown,\bMoortown\b,Moortown
Morkery Wood,Morkery Woods?,Morkery Wood
Morton (Bourne),^(?!.*(Gainsboroug|Swinderby)).*\bMorton\b,Morton
Morton (Gainsborough),^(?!.*(Bourne|Swinderby)).*\bMorton\b,Morton
Morton (Swinderby),^(?!.*(Gainsborough|Bourne)).*\bMorton\b,Morton
Moulton,^(?!.*(Chapel|Marsh|Seas End)).*\bMoulton\b,"Moulton NOT Chapel, Marsh or Seas End"
Moulton Chapel,Moulton Chapel,Moulton Chapel
Moulton Marsh,Moulton Marsh,Moulton Marsh
Moulton Seas End,Moulton Seas End,Moulton Seas End
Muckton,\bMuckton\b,Muckton
Mumby,\bHelsey\b,Helsey
Mumby,\bMumby\b,Mumby
Mumby,Spendluffe Meadows\s?,Spendluffe Meadows
Navenby,\bNavenby\b,Navenby
Nettleham,\bNettleham\b,Nettleham
Nettleton,\bNettleton\b,Nettleton
New Bolingbroke,New Bolingbroke,New Bolingbroke
New Holland,Fairfield Pit,Fairfield Pit
New Holland,New Holland,New Holland
New Leake,New Leake,New Leake
New Waltham,New Waltham,New Waltham
New York,Bunkers Hill,Bunkers Hill
New York,New York,New York
Newball,Hardy Gang Wood,Hardy Gang Wood
Newball,\bNewball\b,Newball
Newton (Sleaford),^(?!.*(Reservoir|Toft|Trent|Wold)).*\bNewton\b,Newton Sleaford
Newton on Trent,Newton on Trent,Newton on Trent
Potterhanworth,Neville Wood,Neville Wood Nocton
Nocton,\bNocton\b,Nocton
Nocton,Wasps Nest,Wasps Nest
Normanby (Scunthorpe),^(?!.*(Spital|Wold)).*\bNormanby\b,Normanby
Normanby by Spital,^(?!.*(Wold|Scunthorpe)).*\bNormanby\b,Normanby - by - Spital
Normanby le Wold,Normanby(-|\s)le(-|\s)Wold,Normanby le Wold
Normanton on Cliffe,Normanton(-|\s)+on(-|\s)?Cliffe,Normanton-on-Cliffe
North Carlton,Lincolnshire Show\s?ground,Lincolnshire Showground
North Carlton,North Carlton,North Carlton
North Cockerington,N(orth)? Cockerington,North Cockerington
North Cotes,MOD Pools,MOD Pools
North Cotes,North\s?Co(a)?tes,North Coates
North Elkington,North Elkington,North Elkington
North Greetwell,North Greetwell,North Greetwell
North Hykeham,Apex (Pit|Lake),Apex Pit
North Hykeham,Millenium Green,Millenium Green
North Hykeham,N(orth)? Hykeham,North Hykeham
North Hykeham,Compartment 04,Millenium Green?
North Hykeham,Richmond Lakes,Richmond Lakes
North Hykeham,Station Road Tip,Station Road Tip
North Hykeham,Teal Park,Teal Park
North Kelsey,North Kelsey,North Kelsey Moor
North Kyme,North Kyme,North Kyme
North Ormsby,North Ormsby,North Ormsby
North Rauceby,North Rauceby,North Rauceby
North Rauceby,Rauceby High Wood,Rauceby High Wood
North Reston,North Reston,North Reston
North Scarle,Eagle R(oad)?d\.?,Eagle Road North Scarle
North Scarle,Lapwing Field,Lapwing Field
North Scarle,\bLowfields\b,Lowfields
North Scarle,Eagle Fishing Pit,Lowfields
North Scarle,Mill Dam,Mill Dam Dyke
North Scarle,North Scarle,North Scarle
North Somercotes,N(orth)?[.\s]+Somercotes,North Somercotes Village
North Somercotes,Elmhouse Farm,Elm House Farm
North Thoresby,N\.?(orth)?\s?Thore?se?by,North Thoresby
North Thoresby,Thoresby Bridge,Thoresby Bridge
North Willingham,North Willingham,North Willingham
North Witham,North Witham,North Witham
Northgate,\bNorthgate\b,Northgate
Northlands,\bNorthlands\b,Northlands
Northorpe (Gainsborough),\bNorthorpe\b,Northorpe
Norton Disney,Hill Holt Wood,Hill Holt Wood
Norton Disney,Norton Disney,Norton Disney
Norton Disney,Norton Gravel Pits?,Norton Gravel Pits
Norton Disney,^(?!.*(Fen|Alford|Bourne))\bThurlby\b,Thurlby
Norwood,\bNorwood\b,Norwood
Nottinghamshire,\bBawtry\b,Bawtry (Notts)
Nottinghamshire,\bBole\b,Bole (Notts)
Nottinghamshire,Collingham,Collingham
Nottinghamshire,\bGirton\b,Girton Notts
Nottinghamshire,Gringley Carr,Gringley Carr
Nottinghamshire,Gringley,Gringley on the Hill (Notts)
Nottinghamshire,Idle Valley,Idle Valley (Notts)
Nottinghamshire,Langford Lowfields,Langford Lowfields
Nottinghamshire,\bThorney\b,Thorney Notts
Oasby,\bOasby\b,Oasby
Obthorpe,\bObthorpe\b,Obthorpe
Old Bolingbroke,Old Bolingbroke,Old Bolingbroke
Old Bolingbroke,Sow\s?Dales?,Sow Dales
Old Leake,Leake Commonside,Leake Commonside
Old Leake,Old Leake,Old Leake
Old Leake,Sailor'?s Home,Sailor's Home
Old Somerby,Cold Harbour,Cold Harbour
Old Somerby,Old Somerby,Old Somerby
Old Woodhall,Highh?all Wood,Highall Wood
Old Woodhall,Old Woodhall,Old Woodhall
Orby,\bOrby\b,Orby
Osbournby,\bOsbournby\b,Osbournby
Osgodby,Cote Hill,Cote Hill Farm
Osgodby,Kirkby Osgodby,Kirkby Osgodby
Osgodby,\bOsgodby\b,Osgodby
Owersby,Kingerby Beck Meadows,Kingerby Beck Meadows
Owersby,\bOwersby\b,Owersby
Owmby by Spital,^(?!.*Searby).*\bOwmby\b,Owmby-by-Spital
Owston Ferry,Owston Ferry,Owston Ferry
Oxcombe,\bOxcombe\b,Oxcombe
Partney,^(?!.*Ashby).*\bPartney\b,Partney
Peterborough,\bBurghley\b,Burghley House
Peterborough,Deeping Gate,Deeping Gate
Peterborough,Low Locks,Low Locks (P'bro)
Peterborough,\bMaxey\b,Maxey - Peterbro
Peterborough,Scout Island,Scout Island
Peterborough,Stamford Sewage Works,Stamford Sewage Works
Peterborough,\bTinwell\b,Tinwell P'boro
Pickworth,\bPickworth\b,Pickworth
Pilham,\bPilham\b,Pilham
Pilham,Wharton Woods?,Wharton Wood
Pinchbeck,\bCrossgate\b,Crossgate
Pinchbeck,\bPinchbeck\b,Pinchbeck
Pode Hole,Pode Hole,Pode Hole
Pointon,\bPointon\b,Pointon
Potterhanworth,Bottom Barff Wood,Bottom Barff Wood
Potterhanworth,\bPotterhanworth\b,Potterhanworth
Quadring,\bQuadring\b,Quadring
Quadring,Quadring,Westhorpe
RAF Digby,^(?=(.*Digby))(?=.*(RAF|Airfield)),RAF Digby
Raithby by Spilsby,Raithby(-|\s)+by(-|\s)+Spilsby,Raithby by Spilsby
Raithby cum Maltby,^(?!.*(le marsh|Strubby)).*\bMaltby\b,Maltby
Ranby,\bRanby\b,Ranby
Rand,\bRand\b,Rand
Reads Island,read[''`']?s?\s*island,Read's Island
Redbourne,\bRedbourne\b,Redbourne
Reepham,\bReepham\b,Reepham
Revesby,\bRevesby\b,Revesby
Riby,\bRiby\b,Riby
Rigsby,\bRigsby\b,Rigsby
Rippingale,\bRippingale\b,Rippingale
Riseholme,\bRiseholme\b,Riseholme
Ropsley,Hurn Wood,Hurn Wood
Ropsley,Kirton Wood,Kirton Wood
Ropsley,\bRopsley\b,Ropsley
Rothwell,\bRothwell\b,Rothwell
Roughton,\bRoughton\b\b,Roughton
Rowston,\bRowston\b,Rowston
Roxby,\bDragonby\b,Dragonby
Roxby,Risby Warren,Risby Warren
Roxby,\bRoxby\b,Roxby
Roxholm,\bRoxholme?\b,Roxholme
Ruckland,\bRuckland\b,Ruckland
Ruckland,^(?!.*(Carr|Brigg)).*Worlaby,Worlaby
Ruskington,\bRuskington\b,Ruskington
Rutland,Banthorpe Gravel Pits,Banthorpe Gravel Pits
Rutland,Great Casterton,Great Casterton
Rutland,\bRutland\b,Rutland
S-T Dunes NNR,Brickyard Lane,Brickyard Lane End
S-T Dunes NNR,Churchill Lane,Churchill Lane End
