common_name, common_name_regex, scientific_name, scientific_name_regex
Pale-bellied Brent Goose,(?=.*(Pale|light)(-|\s)bellied)(?=.*Br(e|a)nt),Branta bernicla hrota,^Branta bernicla hrota
Red-breasted Goose,^Red-breasted Goose$,Branta ruficollis,^Branta ruficollis
Canada Goose,^Canada Goose,Branta canadensis,^Branta canadensis$
Barnacle Goose,^Barnacle Goose$,Branta leucopsis,^Branta leucopsis$
Cackling Goose,^Cackling Goose$,Branta hutchinsii,^Branta hutchinsii
Ross's Goose,^Ross's Goose$,Anser rossii,^Anser rossii
Snow Goose,^Snow Goose$,Anser caerulescens,^Anser caerulescens
Greylag Goose,^Gr(e|a)y\s?lag( Goose)?,Anser anser,^Anser anser
Taiga Bean Goose,^Taiga Bean Goose$,Anser fabalis,^Anser fabalis$
Pink-footed Goose,^Pink-footed Goose$,Anser brachyrhynchus,^Anser brachyrhynchus
Tundra Bean Goose,^Tundra Bean Goose,Anser serrirostris,^Anser serrirostris$
White-fronted Goose,^(Greater ?|European ?| Russian ?)?White(-|\s)fronted Goose,Anser albifrons,^Anser albifrons
Lesser White-fronted Goose,^Lesser White-fronted Goose$,Anser erythropus,^Anser erythropus
Mute Swan,^Mute Swan$,Cygnus olor,^Cygnus olor
Bewick's Swan,^Bewick's Swan$|^Tundra Swan$,Cygnus columbianus,^Cygnus columbianus
Whooper Swan,^Whooper Swan$,Cygnus cygnus,^Cygnus cygnus
Egyptian Goose,^Egyptian Goose$,Alopochen aegyptiaca,^Alopochen aegyptiaca
Shelduck,^Shelduck$|^Common Shelduck$,Tadorna tadorna,^Tadorna tadorna
Ruddy Shelduck,^Ruddy Shelduck$,Tadorna ferruginea,^Tadorna ferruginea
Mandarin Duck,^Mandarin( Duck)?$,Aix galericulata,^Aix galericulata
Baikal Teal,^Baikal Teal$,Sibirionetta formosa,^Sibirionetta formosa
Garganey,^Garganey$,Spatula querquedula,^Spatula querquedula
Blue-winged Teal,^Blue-winged Teal$,Spatula discors,^Spatula discors
Shoveler,^Shoveler$|^Northern Shoveler$,Spatula clypeata,^Spatula clypeata
Gadwall,^Gadwall,Mareca strepera,^Mareca strepera
Falcated Duck,^Falcated Duck$,Mareca falcata,^Mareca falcata
Wigeon,^(Eurasian )?Wigeon,Mareca penelope,^Mareca penelope
American Wigeon,^(American Wigeon),Mareca americana,^Mareca americana
Mallard,^Mallard,Anas platyrhynchos,^Anas platyrhynchos
Black Duck,^Black Duck$|^American Black Duck$,Anas rubripes,^Anas rubripes
Pintail,^(Northern )?Pintail,Anas acuta,^Anas acuta
Teal,^Teal$|^Eurasian Teal$,Anas crecca,^Anas crecca$
Green-winged Teal,^Green-winged Teal$,Anas carolinensis,^Anas carolinensis$
Red-crested Pochard,^Red-crested Pochard$,Netta rufina,^Netta rufina
Canvasback,^Canvasback$,Aythya valisineria,^Aythya valisineria
Redhead,^Redhead$,Aythya americana,^Aythya americana
Pochard,^Pochard$|^Common Pochard$,Aythya ferina,^Aythya ferina
Ferruginous Duck,^Ferruginous Duck$,Aythya nyroca,^Aythya nyroca
Ring-necked Duck,^Ring-necked Duck$,Aythya collaris,^Aythya collaris
Tufted Duck,^Tufted Duck$,Aythya fuligula,^Aythya fuligula
Scaup,^(Greater )?Scaup,Aythya marila,^Aythya marila
Lesser Scaup,^Lesser Scaup$,Aythya affinis,^Aythya affinis
Steller's Eider,^Steller's Eider$,Polysticta stelleri,^Polysticta stelleri
King Eider,^King Eider$,Somateria spectabilis,^Somateria spectabilis
Eider,^(Common )?Eider,Somateria mollissima,^Somateria mollissima
Harlequin Duck,^Harlequin Duck$,Histrionicus histrionicus,^Histrionicus histrionicus
Surf Scoter,^Surf Scoter$,Melanitta perspicillata,^Melanitta perspicillata
Velvet Scoter,^Velvet Scoter$,Melanitta fusca,^Melanitta fusca
White-winged Scoter,^White-winged Scoter$,Melanitta deglandi,^Melanitta deglandi
Common Scoter,^Common Scoter$,Melanitta nigra,^Melanitta nigra
Black Scoter,^Black Scoter$,Melanitta americana,^Melanitta americana
Long-tailed Duck,^Long-tailed Duck$,Clangula hyemalis,^Clangula hyemalis
Bufflehead,^Bufflehead$,Bucephala albeola,^Bucephala albeola
Goldeneye,^(Common )?Goldeneye,Bucephala clangula,^Bucephala clangula
Barrow's Goldeneye,^Barrow's Goldeneye$,Bucephala islandica,^Bucephala islandica
Smew,^Smew$,Mergellus albellus,^Mergellus albellus
Hooded Merganser,^Hooded Merganser$,Lophodytes cucullatus,^Lophodytes cucullatus
Goosander,^(Goosander|Common Merganser),Mergus merganser,^Mergus merganser
Red-breasted Merganser,^Red-breasted Merganser$,Mergus serrator,^Mergus serrator
Ruddy Duck,^Ruddy Duck$,Oxyura jamaicensis,^Oxyura jamaicensis
Red Grouse,^Red Grouse$|^Willow Ptarmigan$,Lagopus lagopus,^Lagopus lagopus
Ptarmigan,^Ptarmigan$|^Rock Ptarmigan$,Lagopus muta,^Lagopus muta
Capercaillie,^Capercaillie$|^Western Capercaillie$,Tetrao urogallus,^Tetrao urogallus
Black Grouse,^Black Grouse$,Lyrurus tetrix,^Lyrurus tetrix
Grey Partridge,^Gr(e|a)y Partridge,Perdix perdix,^Perdix perdix
Golden Pheasant,^Golden Pheasant$,Chrysolophus pictus,^Chrysolophus pictus
Lady Amherst's Pheasant,^Lady Amherst's Pheasant$,Chrysolophus amherstiae,^Chrysolophus amherstiae
Pheasant,^(Common |Ring-necked )?Pheasant$,Phasianus colchicus,^Phasianus colchicus
Quail,^Quail$|^Common Quail$,Coturnix coturnix,^Coturnix coturnix
Red-legged Partridge,^Red-legged Partridge$,Alectoris rufa,^Alectoris rufa
Common Nighthawk,^Common Nighthawk$,Chordeiles minor,^Chordeiles minor
Red-necked Nightjar,^Red-necked Nightjar$,Caprimulgus ruficollis,^Caprimulgus ruficollis
Nightjar,^Nightjar$|^European Nightjar$,Caprimulgus europaeus,^Caprimulgus europaeus
Egyptian Nightjar,^Egyptian Nightjar$,Caprimulgus aegyptius,^Caprimulgus aegyptius
White-throated Needletail,^White-throated Needletail$,Hirundapus caudacutus,^Hirundapus caudacutus
Chimney Swift,^Chimney Swift$,Chaetura pelagica,^Chaetura pelagica
Alpine Swift,^Alpine Swift,Tachymarptis melba,^Tachymarptis melba
Swift,^(Common )?Swift,Apus apus,^Apus apus
Pallid Swift,^Pallid Swift$,Apus pallidus,^Apus pallidus
Pacific Swift,^Pacific Swift$,Apus pacificus,^Apus pacificus
Little Swift,^Little Swift$,Apus affinis,^Apus affinis
White-rumped Swift,^White-rumped Swift$,Apus caffer,^Apus caffer
Great Bustard,^Great Bustard$,Otis tarda,^Otis tarda
Macqueen's Bustard,^Macqueen's Bustard$,Chlamydotis macqueenii,^Chlamydotis macqueenii
Little Bustard,^Little Bustard$,Tetrax tetrax,^Tetrax tetrax
Great Spotted Cuckoo,^Great Spotted Cuckoo$,Clamator glandarius,^Clamator glandarius
Yellow-billed Cuckoo,^Yellow-billed Cuckoo$,Coccyzus americanus,^Coccyzus americanus
Black-billed Cuckoo,^Black-billed Cuckoo$,Coccyzus erythropthalmus,^Coccyzus erythropthalmus
Cuckoo,^(Common )?Cuckoo,Cuculus canorus,^Cuculus canorus
Pallas's Sandgrouse,^Pallas's Sandgrouse$,Syrrhaptes paradoxus,^Syrrhaptes paradoxus
Rock Dove,^(Rock Dove|Feral Pigeon),Columba livia,^Columba livia
Stock Dove,^Stock (Dove|Pigeon),Columba oenas,^Columba oenas
Woodpigeon,^(Common )?Wood(-|\s)?Pigeon,Columba palumbus,^Columba palumbus
Turtle Dove,^(European )?Turtle(-|\s)Dove$,Streptopelia turtur,^Streptopelia turtur
Oriental Turtle Dove,^Oriental Turtle Dove$,Streptopelia orientalis,^Streptopelia orientalis
Collared Dove,^(Eurasian )?Coll?are?d(-|\s)Dove$,Streptopelia decaocto,^Streptopelia decaocto
Mourning Dove,^Mourning Dove$,Zenaida macroura,^Zenaida macroura
Water Rail,^Water Rail,Rallus aquaticus,^Rallus aquaticus
Corncrake,^Corncrake$|^Corn Crake$,Crex crex,^Crex crex
Sora Rail,^Sora Rail$|^Sora$,Porzana carolina,^Porzana carolina
Spotted Crake,^Spotted Crake$,Porzana porzana,^Porzana porzana
Moorhen,^(Common |Eurasian )?Moorhen,Gallinula chloropus,^Gallinula chloropus
Coot,^(Eurasian|Common)?\s?Coot,Fulica atra,^Fulica atra
American Coot,^American Coot$,Fulica americana,^Fulica americana
Allen's Gallinule,^Allen's Gallinule$,Porphyrio alleni,^Porphyrio alleni
American Purple Gallinule,^American Purple Gallinule$|^Purple Gallinule$,Porphyrio martinica,^Porphyrio martinica
Western Swamphen,^Western Swamphen$,Porphyrio porphyrio,^Porphyrio porphyrio
Baillon's Crake,^Baillon's Crake$,Zapornia pusilla,^Zapornia pusilla
Little Crake,^Little Crake$,Zapornia parva,^Zapornia parva
Sandhill Crane,^Sandhill Crane$,Antigone canadensis,^Antigone canadensis
Crane,^Crane$|^Common Crane$,Grus grus,^Grus grus
Little Grebe,^Little Grebe,Tachybaptus ruficollis,^Tachybaptus ruficollis
Pied-billed Grebe,^Pied-billed Grebe$,Podilymbus podiceps,^Podilymbus podiceps
Red-necked Grebe,^Red-necked Grebe$,Podiceps grisegena,^Podiceps grisegena
Great Crested Grebe,^Great(-|\s)Crested Grebe,Podiceps cristatus,^Podiceps cristatus
Slavonian Grebe,^\b(Slavonian|Horned) Grebe\b,Podiceps auritus,^Podiceps auritus
Black-necked Grebe,^(Black-necked|Eared) Grebe$,Podiceps nigricollis,^Podiceps nigricollis
Stone-curlew,^Stone-curlew$|^Eurasian Stone-curlew$,Burhinus oedicnemus,^Burhinus oedicnemus
Oystercatcher,^(Eurasian )?Oystercatcher,Haematopus ostralegus,^Haematopus ostralegus
Black-winged Stilt,^Black-winged Stilt$,Himantopus himantopus,^Himantopus himantopus
Avocet,^Avocet$|^Pied Avocet$,Recurvirostra avosetta,^Recurvirostra avosetta
Lapwing,^(Northern )?Lapwing$,Vanellus vanellus,^Vanellus vanellus
Sociable Plover,^Sociable Plover$|^Sociable Lapwing$,Vanellus gregarius,^Vanellus gregarius
White-tailed Plover,^White-tailed Plover$|^White-tailed Lapwing$,Vanellus leucurus,^Vanellus leucurus
Golden Plover,^(European )?Golden(-|\s)Plover,Pluvialis apricaria,^Pluvialis apricaria
Pacific Golden Plover,^Pacific Golden Plover$,Pluvialis fulva,^Pluvialis fulva
American Golden Plover,^American Golden Plover$,Pluvialis dominica,^Pluvialis dominica
Grey Plover,^(Grey|Black-bellied) Plover,Pluvialis squatarola,^Pluvialis squatarola
Ringed Plover,^(Common |Greater )?Ringed Plover,Charadrius hiaticula,^Charadrius hiaticula
Semipalmated Plover,^Semipalmated Plover$,Charadrius semipalmatus,^Charadrius semipalmatus
Little Ringed Plover,^Little Ringed Plover,Charadrius dubius,^Charadrius dubius
Killdeer,^Killdeer$,Charadrius vociferus,^Charadrius vociferus
Kentish Plover,^Kentish Plover$,Charadrius alexandrinus,^Charadrius alexandrinus
Greater Sand Plover,^Greater Sand Plover$,Charadrius leschenaultii,^Charadrius leschenaultii
Siberian Sand Plover,^Siberian Sand Plover$,Charadrius mongolus,^Charadrius mongolus
Tibetan Sand Plover,^Tibetan Sand Plover$,Charadrius atrifrons,^Charadrius atrifrons
Caspian Plover,^Caspian Plover$,Charadrius asiaticus,^Charadrius asiaticus
Dotterel,^Dotterel$|^Eurasian Dotterel$,Charadrius morinellus,^Charadrius morinellus
Upland Sandpiper,^Upland Sandpiper$,Bartramia longicauda,^Bartramia longicauda
Whimbrel,^(Eurasian )?Whimbrel,Numenius phaeopus,^Numenius phaeopus
Hudsonian Whimbrel,^Hudsonian Whimbrel$,Numenius hudsonicus,^Numenius hudsonicus
Little Whimbrel,^Little Whimbrel$|^Little Curlew$,Numenius minutus,^Numenius minutus
Eskimo Curlew,^Eskimo Curlew$,Numenius borealis,^Numenius borealis
Curlew,^(?!.*Sandpiper)(Eurasian )?Curlew,Numenius arquata,^Numenius arquata
Bar-tailed Godwit,^Bar(-|\s)tailed Godwit,Limosa lapponica,^Limosa lapponica
Black-tailed Godwit,^Black(-|\s)tailed Godwit,Limosa limosa,^Limosa limosa
Hudsonian Godwit,^Hudsonian Godwit$,Limosa haemastica,^Limosa haemastica
Turnstone,^(Ruddy )?Turnstone,Arenaria interpres,^Arenaria interpres
Great Knot,^Great Knot$,Calidris tenuirostris,^Calidris tenuirostris
Knot,^(Red )?Knot,Calidris canutus,^Calidris canutus
Ruff,^Ruff$,Calidris pugnax,^Calidris pugnax
Broad-billed Sandpiper,^Broad-billed Sandpiper$,Calidris falcinellus,^Calidris falcinellus
Sharp-tailed Sandpiper,^Sharp-tailed Sandpiper$,Calidris acuminata,^Calidris acuminata
Stilt Sandpiper,^Stilt Sandpiper$,Calidris himantopus,^Calidris himantopus
Curlew Sandpiper,^Curlew Sandpiper,Calidris ferruginea,^Calidris ferruginea
Temminck's Stint,^Temminck's Stint$,Calidris temminckii,^Calidris temminckii
Long-toed Stint,^Long-toed Stint$,Calidris subminuta,^Calidris subminuta
Red-necked Stint,^Red-necked Stint$,Calidris ruficollis,^Calidris ruficollis
Sanderling,^Sanderling,Calidris alba,^Calidris alba
Dunlin,^Dunlin,Calidris alpina,^Calidris alpina
Purple Sandpiper,^Purple Sandpiper$,Calidris maritima,^Calidris maritima
Baird's Sandpiper,^Baird's Sandpiper$,Calidris bairdii,^Calidris bairdii
Little Stint,^Little Stint$,Calidris minuta,^Calidris minuta
Least Sandpiper,^Least Sandpiper$,Calidris minutilla,^Calidris minutilla
White-rumped Sandpiper,^White-rumped Sandpiper$,Calidris fuscicollis,^Calidris fuscicollis
Buff-breasted Sandpiper,^Buff-breasted Sandpiper$,Calidris subruficollis,^Calidris subruficollis
Pectoral Sandpiper,^Pectoral Sandpiper$,Calidris melanotos,^Calidris melanotos
Semipalmated Sandpiper,^Semipalmated Sandpiper$,Calidris pusilla,^Calidris pusilla
Western Sandpiper,^Western Sandpiper$,Calidris mauri,^Calidris mauri
Long-billed Dowitcher,^Long-billed Dowitcher$,Limnodromus scolopaceus,^Limnodromus scolopaceus
Short-billed Dowitcher,^Short-billed Dowitcher$,Limnodromus griseus,^Limnodromus griseus
Woodcock,^Woodcock$|^Eurasian Woodcock$,Scolopax rusticola,^Scolopax rusticola
Jack Snipe,^Jack Snipe$,Lymnocryptes minimus,^Lymnocryptes minimus
Great Snipe,^Great Snipe$,Gallinago media,^Gallinago media
Snipe,^(Common )?Snipe,Gallinago gallinago,^Gallinago gallinago
Wilson's Snipe,^Wilson's Snipe$,Gallinago delicata,^Gallinago delicata
Terek Sandpiper,^Terek Sandpiper$,Xenus cinereus,^Xenus cinereus
Wilson's Phalarope,^Wilson's Phalarope$,Phalaropus tricolor,^Phalaropus tricolor
Red-necked Phalarope,^Red-necked Phalarope$,Phalaropus lobatus,^Phalaropus lobatus
Grey Phalarope,^Grey Phalarope$|^Red Phalarope$,Phalaropus fulicarius,^Phalaropus fulicarius
Common Sandpiper,^Common Sandpiper$,Actitis hypoleucos,^Actitis hypoleucos
Spotted Sandpiper,^Spotted Sandpiper$,Actitis macularius,^Actitis macularius
Green Sandpiper,^Green Sandpi?p?per$,Tringa ochropus,^Tringa ochropus
Solitary Sandpiper,^Solitary Sandpiper$,Tringa solitaria,^Tringa solitaria
Grey-tailed Tattler,^Grey-tailed Tattler$,Tringa brevipes,^Tringa brevipes
Lesser Yellowlegs,^Lesser Yellowlegs$,Tringa flavipes,^Tringa flavipes
Redshank,^(Common )?Redshank,Tringa totanus,^Tringa totanus
Marsh Sandpiper,^Marsh Sandpiper$,Tringa stagnatilis,^Tringa stagnatilis
Wood Sandpiper,^Wood Sandpiper$,Tringa glareola,^Tringa glareola
Spotted Redshank,^Spotted Redshank$,Tringa erythropus,^Tringa erythropus
Greenshank,^Greenshank$|^Common Greenshank$,Tringa nebularia,^Tringa nebularia
Greater Yellowlegs,^Greater Yellowlegs$,Tringa melanoleuca,^Tringa melanoleuca
Cream-coloured Courser,^Cream-coloured Courser$|^Cream-colored Courser$,Cursorius cursor,^Cursorius cursor
Collared Pratincole,^Collared Pratincole$,Glareola pratincola,^Glareola pratincola
Oriental Pratincole,^Oriental Pratincole$,Glareola maldivarum,^Glareola maldivarum
Black-winged Pratincole,^Black-winged Pratincole$,Glareola nordmanni,^Glareola nordmanni
Kittiwake,^(\bKittiwake\b|Black-legged Kittiwake),Rissa tridactyla,^Rissa tridactyla
Ivory Gull,^Ivory Gull$,Pagophila eburnea,^Pagophila eburnea
Sabine's Gull,^Sabine's Gull$,Xema sabini,^Xema sabini
Slender-billed Gull,^Slender-billed Gull$,Chroicocephalus genei,^Chroicocephalus genei
Bonaparte's Gull,^Bonaparte's Gull$,Chroicocephalus philadelphia,^Chroicocephalus philadelphia
Black-headed Gull,^Black-headed Gull$,Chroicocephalus ridibundus,^Chroicocephalus ridibundus
Little Gull,^Little Gull$,Hydrocoloeus minutus,^Hydrocoloeus minutus
Ross's Gull,^Ross's Gull$,Rhodostethia rosea,^Rhodostethia rosea
Laughing Gull,^Laughing Gull$,Leucophaeus atricilla,^Leucophaeus atricilla
Franklin's Gull,^Franklin's Gull$,Leucophaeus pipixcan,^Leucophaeus pipixcan
Audouin's Gull,^Audouin's Gull$,Ichthyaetus audouinii,^Ichthyaetus audouinii
Mediterranean Gull,^Mediterranean Gull$,Ichthyaetus melanocephalus,^Ichthyaetus melanocephalus
Great Black-headed Gull,^Great Black-headed Gull$|^Pallas's Gull$,Ichthyaetus ichthyaetus,^Ichthyaetus ichthyaetus
Common Gull,^(Common|Mew) Gull,Larus canus,^Larus canus
Ring-billed Gull,^Ring-billed Gull$,Larus delawarensis,^Larus delawarensis
Great Black-backed Gull,^Great(er)? Black-backed Gull$,Larus marinus,^Larus marinus
Kelp Gull,^Kelp Gull$,Larus dominicanus,^Larus dominicanus
Glaucous-winged Gull,^Glaucous-winged Gull$,Larus glaucescens,^Larus glaucescens
Glaucous Gull,^Glaucous Gull$,Larus hyperboreus,^Larus hyperboreus
Iceland Gull,^Iceland Gull,Larus glaucoides,^Larus glaucoides
Herring Gull,^(European )?Herring Gull,Larus argentatus,^Larus argentatus
American Herring Gull,^American Herring Gull$,Larus smithsonianus,^Larus smithsonianus
Caspian Gull,^Caspian Gull$,Larus cachinnans,^Larus cachinnans
Yellow-legged Gull,^Yellow-legged Gull,Larus michahellis,^Larus michahellis
Slaty-backed Gull,^Slaty-backed Gull$,Larus schistisagus,^Larus schistisagus
Lesser Black-backed Gull,^Lesser Black-backed Gull,Larus fuscus,^Larus fuscus
Gull-billed Tern,^Gull-billed Tern$,Gelochelidon nilotica,^Gelochelidon nilotica
